Weight in kg	Height	HeightClass	Player	Team	WeightClass	Year
114,75886961	210,82	210	Anthony Davis	New Orleans Pelicans	110	2013
113,3980925	203,2	201	LeBron James	Miami Heat	110	2013
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2013
87,54332741	190,5	189	Kyrie Irving	Cleveland Cavaliers	85	2013
99,7903214	205,74	204	Paul George	Indiana Pacers	95	2013
108,8621688	203,2	201	Carmelo Anthony	New York Knicks	105	2013
122,4699399	218,44	216	Roy Hibbert	Indiana Pacers	120	2013
111,58372302	203,2	201	Paul Millsap	Atlanta Hawks	110	2013
99,7903214	200,66	198	DeMar DeRozan	Toronto Raptors	95	2013
95,2543977	193,04	192	John Wall	Washington Wizards	95	2013
104,3262451	210,82	210	Joakim Noah	Chicago Bulls	100	2013
108,8621688	200,66	198	Joe Johnson	Brooklyn Nets	105	2013
106,59420695	210,82	210	Chris Bosh	Miami Heat	105	2013
108,8621688	205,74	204	Kevin Durant	Oklahoma City Thunder	105	2012
120,20197805	210,82	210	Dwight Howard	Los Angeles Lakers	120	2012
113,85168487	208,28	207	Blake Griffin	Los Angeles Clippers	110	2012
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2012
79,37866475	182,88	180	Chris Paul	Los Angeles Clippers	75	2012
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2012
83,91458845	187,96	186	Tony Parker	San Antonio Spurs	80	2012
90,718474	190,5	189	Russell Westbrook	Oklahoma City Thunder	90	2012
99,7903214	195,58	195	James Harden	Houston Rockets	95	2012
117,9340162	205,74	204	Zach Randolph	Memphis Grizzlies	115	2012
108,8621688	210,82	210	LaMarcus Aldridge	Portland Trail Blazers	105	2012
111,13013065	205,74	204	David Lee	Golden State Warriors	110	2012
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2012
113,3980925	203,2	201	LeBron James	Miami Heat	110	2012
84,36818082	185,42	183	Rajon Rondo	Boston Celtics	80	2012
108,8621688	203,2	201	Carmelo Anthony	New York Knicks	105	2012
108,8621688	210,82	210	Kevin Garnett	Boston Celtics	105	2012
106,59420695	210,82	210	Chris Bosh	Miami Heat	105	2012
